Date/Time,"Steam flow 
(t/h)","Export power.
(MW)","Post combustion 
temp. C","Flue gas temp inlet 
bag filter temp. C","IDF Running 
(PV Control.) %","RGF Running 
(PV Control.) %",Sootblow,"PAF Running 
(PV Control.) %",Problem
13/12/2025 23:00 ¹.,38,6.627,955.2,168.6,95.1,90.4,0,64.8,0
13/12/2025 0:00 ¹.,40,7.174,979,164.9,94.7,92,0,64.8,0
14/12/2025 1:00 ¹.,43,7.774,975.9,162.9,91.2,93.6,0,62.8,0
14/12/2025 2:00 ¹.,39,6.767,936.9,161.8,87.6,91.2,0,59.9,0
14/12/2025 3:00 ¹.,42,7.422,991.9,161.4,88.2,88.7,0,61,0
14/12/2025 4:00 ¹.,43,7.574,1008.4,162.9,88.5,88.9,0,60.5,0
14/12/2025 5:00 ¹.,37,6.491,946.8,166,93,90.5,0,62.3,0
14/12/2025 6:00 ¹.,38,6.525,941.7,163.4,93.2,90.6,0,62.9,0
14/12/2025 7:00 ¹.,41,7.128,955,161.4,91.2,90.7,0,62.1,0
14/12/2025 8:00 ¹.,39,6.737,932.5,162.1,87.7,89,0,62.1,0
14/12/2025 9:00 ¹.,39,6.808,939.3,163.4,88.3,89.6,0,62.2,0
14/12/2025 10:00 ¹.,40,7.098,960.8,164.7,88.6,90.6,0,61.9,0
14/12/2025 11:00 ¹.,38,6.757,937.5,166.5,88.4,90.6,0,61.2,0
14/12/2025 12:00 ¹.,39,6.806,936.6,167.2,88.1,92.5,0,61.2,0
14/12/2025 13:00 ¹.,39,6.843,965.2,167.7,89.3,91.6,0,62.2,0
14/12/2025 14:00 ¹.,41,7.432,1017.4,170.2,93.4,92,0,62.3,0
14/12/2025 15:00 ¹.,43,7.902,1019.8,164.1,91.9,91,0,62.3,0
14/12/2025 16:00 ¹.,42,7.627,989.2,164.7,89.8,90.2,0,62,0
14/12/2025 17:00 ¹.,44,8.116,1034.3,167.2,91.5,94.6,0,63.2,0
14/12/2025 18:00 ¹.,45,8.071,1015.9,165.8,90.4,90.6,0,63.2,0
14/12/2025 19:00 ¹.,43,7.779,1001.9,167.4,91.5,90.5,0,64.6,0
14/12/2025 20:00 ¹.,43,8.123,1047.5,169.4,94,92,0,64.8,0
14/12/2025 21:00 ¹.,43,8.078,1041.8,169.5,92.8,92,0,64.6,0
14/12/2025 22:00 ¹.,42,7.603,990,168.5,91.9,90.6,0,64.8,0
14/12/2025 23:00 ¹.,42,7.586,1025.7,171.1,96.3,90.4,0,64.8,0
14/12/2025 0:00 ¹.,44,7.977,1033.9,167.3,94.1,90.5,0,64.8,0
15/12/2025 1:00 ¹.,45,7.987,999.8,163.4,91.8,89.2,0,65.6,0
15/12/2025 2:00 ¹.,44,7.823,1003.8,164.3,91.1,89.4,0,64.9,0
15/12/2025 3:00 ¹.,43,7.945,1072.8,164.7,92.3,88.5,0,65.2,0
15/12/2025 4:00 ¹.,42,7.523,998.1,164.3,90.1,90.5,0,63.2,0
15/12/2025 5:00 ¹.,43,7.786,1035,165.7,92,89.4,0,63,0
15/12/2025 6:00 ¹.,42,7.407,1018.1,166.4,93.3,87.9,0,63,0
15/12/2025 7:00 ¹.,41,7.332,1001,161.4,89.8,87.4,0,62.9,0
15/12/2025 8:00 ¹.,44,7.931,1013.3,161.5,89.1,89.9,0,63,0
15/12/2025 9:00 ¹.,35,6.114,902.1,164.3,90.7,90.6,0,61.3,0
15/12/2025 10:00 ¹.,18,2.644,785.7,154.4,75,38.5,0,44.1,0
